doc_id,text
66,France bans skinny models in anorexia clamp-down
67,Asthma very common among Olympic-level swimmers
68,Deadly snakes 'milked' to create potent new anti-venom
69,Walking may help overweight people curb sugar cravings
70,States ask U.S. Congress to launch inquiry of herbal supplements
71,Swedish Match gears up for closely watched FDA panel meeting
72,Minimally invasive surgery safe for rectal cancer
73,Patients may prefer getting biopsy results by phone
74,Top U.S. turkey producer Minnesota finds 4th bird flu case: USDA
75,Study suggests surgeons do get better with experience
76,Patient tests negative for Ebola in Colorado: state health officials
77,"Greece scraps hospital visit fee, to hire health workers"
78,"India to add more AIDS, TB drugs to essential medicines list: sources"
79,Patient evaluated for Ebola at Colorado hospital after seeing symptoms
80,Sierra Leone to start laying off Ebola workers as cases fall: president
81,Fetal DNA tests prove highly accurate but experts warn of exceptions
82,Massive tea consumption linked to kidney failure
83,Older men who exercise more have better erectile function
84,"Merck, NewLink Ebola vaccine appears safe, effective in new studies"
85,Obese children may have a harder time tasting fats than leaner kids
86,"Military suicides aren't linked to deployment, study finds"
87,India to repackage state-supplied condoms in bid to attract users
88,Five U.S. health workers released after Ebola monitoring in Nebraska
89,Web searches may predict disease risk among populations
90,"California getting 'second-hand smog' from Asia, researchers say"
91,"RT @ReutersOpinion: This drug, banned in Europe, Russia and China, may be in your lunch:"
92,"As deadly pig virus wanes, bacon prices shrink"
93,Constipation emergencies on the rise
94,New York doctors accused of using free shoes offer to defraud Medicaid
95,Air pollution may be tied to anxiety
96,"New cancer drugs 'vastly overestimated', says contrarian analyst"
97,Spain to reinstate primary healthcare for illegal immigrants
98,"World Bank backs contraception, sexual health in Sahel region"
99,"Pesticides on fruits, veggies linked with poorer semen quality"
100,Teens with HIV fare worse when parents don't come to clinic appointments
101,Guinea finds three Ebola cases in the alumina hub of Fria
102,"New cancer drugs 'vastly overestimated', says contrarian analyst"
103,Kenya court urges change to law criminalizing women who pass HIV to baby
104,Coalition stopping Red Cross delivering medical aid in Yemen: spokeswoman
105,BioCryst Pharma wins federal contract to continue making Ebola drug
106,"Quintiles, Quest Diagnostics to form clinical trial labs joint venture"
107,China aims to double doctor numbers as cure for healthcare woes
108,Ali Health pens tie-up for online health testing platform
109,Arizona governor says he has signed abortion bill into law
110,"One in five teens have tried e-cigarettes, a British study finds"
111,"Pesticides on fruits, veggies linked with poorer semen quality"
112,"J&amp;J, Glaxo settle U.S. lawsuit over allergy ads"
113,"U.S. cancer incidence, mortality largely stable or decreasing"
114,Sierra Leone Ebola lockdown exposes hundreds of suspected cases
115,Novartis digs deeper into cancer with up to $750 million Aduro deal
116,Teva to buy U.S. drug developer Auspex Pharma for $3.5 billion
117,Kids’ fast food consumption on the decline
118,Apple a day might keep the pharmacist away
119,Los Angeles company to halt seafood distribution over listeria: DOJ
120,U.S. Ebola patient's status improved to fair from serious: NIH
121,GNC Holdings strikes deal with NY Attorney General over herbal supplements
122,Feet: the foundation for fitness and health
123,Teva to buy U.S. drug developer Auspex Pharma for $3.5 billion
124,U.S. plans to dig deeper on antibiotics given to livestock
125,BioDelivery Sciences pain drug fails late: stage study
126,Sanofi chairman says acquisitions not 'indispensable' for future
127,"Measure kids’ medicines in metric units, not spoonfuls, doctors say"
128,Experts caution against random drug testing in schools
129,Liberia calls for sexual abstinence to cut Ebola transmission risk
130,Battlefield lessons transform U.S. emergency care
131,Battling nightmare infections: US CDC's plan to beat supberbugs
132,Police fire tear gas on crowd during Sierra Leone Ebola lockdown
133,GSK agrees UK deal for meningitis shot after Novartis stand-off
134,Guinea president announces new emergency measures in Ebola fight
135,Police fire tear gas on crowd during Sierra Leone Ebola lockdown
136,Police fire tear gas on crowd during Sierra Leone Ebola lockdown
137,Minnesota suffers third bird flu infection in commercial poultry
138,"In swansong, FDA chief defends drug approval process"
139,Liberia's sole remaining known Ebola patient dies
140,FDA rejects Adamis Pharma's injection for treating allergic reactions
141,USDA hog report confirms active herd growth as pig virus ease
142,"For disabled vets, playing team sports boosts quality of life"
143,Vision loss increases risk for thoughts of suicide
144,British Ebola patient cured after experimental treatment
145,Grants help level the playing field for young moms in science
146,Sanofi to launch Toujeo diabetes drug in U.S. on Monday: source
147,Eyeliner too close to the eye leads to contamination
148,Moms' excess pregnancy weight linked to kids' obesity
149,Europe postpones decision on Bristol immune system cancer drug
150,Ohr Pharma's eye drug fails main goal in mid-stage study
151,Sierra Leone three-day Ebola lockdown leaves capital 'eerily quiet'
152,EU clears German scheme to exempt pharma groups from price freezes
153,Novo Nordisk surges on plan to resubmit rejected insulin in U.S.
154,Senate delays vote on Medicare payment fix for two weeks
155,White House crafts first-ever plan to fight superbugs
156,White House crafts first-ever plan to fight superbugs
157,Two experimental Ebola vaccines pass safety test in African trial
158,Widows may have fewer social and financial problems than in the past
159,Exclusive: Modi government puts brakes on India's universal health plan
160,Occupational exposure to chemicals may up lymphoma risk for men
161,FDA to evaluate homeopathy regulatory framework
162,Olympus issues 'urgent' steps for cleaning device linked to superbugs
163,Plain cigarette packs with health warnings may encourage quitting
164,Scientist defends WHO group report linking herbicide to cancer
165,Study finds no sign Ebola virus is mutating out of control
166,Novo Nordisk filing move brings Tresiba closer to U.S. market
167,Black market trade in organs targeted in anti-trafficking treaty
168,Genfit to conduct large liver drug trial despite setback
169,U.S. ad campaign points to dangers of dual cigarette/e-cig use
170,Midlife fitness may lower risk of some cancers later
171,U.S. Ebola patient's condition improved to serious: NIH
172,"Morphosys, Celgene end cooperation on MOR202 drug candidate"
173,U.S. House approves bipartisan fix to Medicare doctors pay
174,Post-election unrest could hamper aid efforts in Nigeria
175,Indiana governor allows needle exchange to fight HIV outbreak
176,New pandemic insurance to prevent crises through early payouts
177,Sweden's Medivir in partner talks for drug candidate MIV-802
178,"With diabetic nerve damage, walking can pose fall risk"
179,WHO urges Europeans to work together to counter high drug prices
180,Conatus Pharma's liver drug succeeds in mid-stage study
181,Stada agrees oncology deal with Indian Hetero Drugs
182,Actelion says wins Japanese approval for heart and lung drug
183,Employer incentives for U.S. worker wellness programs set record
184,"Cholera will plague Haiti until water, sanitation crisis solved: experts"
185,Evidence of xylitol's cavity-preventing benefits lacking
186,Indiana governor to declare disaster for county hit by HIV outbreak
187,"Ebola is most deadly among babies, young children, study finds"
188,Adequate sleep tied to women’s sexual function
189,Even interrupting sitting time may improve health in type 2 diabetes
190,Obama ready to sign bipartisan fix for Medicare doctor payments
191,Mother's support is vital for sexually abused children
192,"New Ebola infections continue to drop, Guinea still a concern"
193,Amgen to appeal rejection of bid to block Novartis biosimilar drug
194,Kids more likely to use marijuana when suspension is the consequence
195,FDA again expands usage of Regeneron eye drug Eylea
196,Guinea starts testing Merck vaccine in Ebola hotspots
197,U.S. consumer safety regulators probes Lumber Liquidators laminates
198,"Britain's Cameron apologizes over infected blood in 70s, 80s"
199,Global Fund cancels $574 million for fighting AIDS in Malawi
200,Colorado pot campaigner seeks 'sanctuary' status for mountain town
201,BioLineRX stem cell leukemia drug meets goals in early trial
202,FDA approves Emergent BioSolutions' anthrax treatment
203,VBL Therapeutics brain cancer drug study meets main goal
204,Indian doctors find success in tackling the 'invisible burden' of tuberculosis
205,Resuscitation outcomes no worse when families watch doctors work
206,More diabetes cases diagnosed after Medicaid expansion
207,Lpath's kidney cancer drug fails mid-stage trial
208,Monsanto seeks retraction for report linking herbicide to cancer
209,FDA to evaluate homeopathy regulatory framework
210,Cancer patients want more info about CT risks
211,"Even in nursing, no equal pay for women"
212,Lack of insurance bars some from hepatitis C treatment
213,Exclusive: Drug that caused 'elephant man' side effect makes comeback after 2006 disaster
214,VIDEO: How tumors grown in dishes could help customize cancer treatment.
215,Humana says previously disclosed DOJ query involves other companies
216,Study of Merck melanoma drug halted after survival prolonged
217,Bristol-Myers buys rights to Novo Nordisk immune system project
218,Views of terminally-ill children should be heard: new UK guidelines
219,"Online platform 'Open Humans' launches to share DNA, other data"
220,"Drug-resistant TB threatens to kill 75 million people by 2050, cost $16.7 trillion"
221,Children with TB at risk of dying amid slow progress on child-friendly treatment
222,Statins can be stopped toward the end of life
223,U.S. funding research of better anthrax vaccine: health officials
224,Obamacare subsidies likely expanded insurance coverage: report
225,"Reimburse doctors for helping patients plan end of life care, experts say"
226,Kids exposure to secondhand smoke tied to clogged arteries
227,"U.S. developing bird flu vaccine, no plans to distribute it yet"
228,FDA approves Abiomed's blood pump device
229,"Without symptoms, the value of testing for thyroid disease is unclear"
230,"Years later, stress training pays off for cancer patients"
231,"RT @specialreports: When it comes to e-cigarettes, Big Tobacco is concerned for your health"
232,"Antidepressants have sexual side effects in teens, too"
233,InVivo finalizes capital increase for animal health unit
234,FDA recommends no changes to Lilly's schizophrenia injection use
235,Gilead shares dip after warning about hepatitis C drug interaction
236,U.S. hospitals' uncompensated care fell by $7.4 billion in 2014: government
237,California officials assess 'low risk' traveler for Ebola
238,"A year after Ebola discovered, relapses seen in fight to end it"
239,RT @Reuters: Big tobacco companies push for a range of controls on e-cigarettes.
240,Tumors grown in dishes could help customize cancer treatment
241,Uncommon form of heart attack likely runs in family: study
242,"Bristol, Sanofi and Novartis drugs to shine among 2015 launches"
243,"Deadly mosquito-borne diseases could threaten UK within decades, experts warn"
244,"Pfizer, Lilly to resume late-stage study testing pain drug"
245,MEI Pharma's cancer drug misses main goals in mid-stage study
246,"Tenet, United Surgical to form joint venture for $1.9 billion"
247,"Special Report: When it comes to e-cigs, Big Tobacco is concerned for your health"
248,"Exclusive: Biogen shortens name, expands ambitions in Alzheimer's, ALS"
249,Slow Ebola response cost thousands of lives: MSF
250,Soaring antibiotic use in animals fuels 'super bug' fears
251,Monsanto weed killer can 'probably' cause cancer: World Health Organization
252,J&amp;J's Janssen scores partial victory in second Risperdal trial
253,U.S. abortion politics snag effort to fix doctors' Medicare pay
254,"Path to breast cancer care differs by race, ethnicity"
255,Coping style may contribute to stress in parents of preemies
256,"RT @ReutersWorld: The rise and fall of Ebola over the course of a year, in today's Data Dive:"
257,Study measures the foul smell of fat bias
258,Liberia reports first Ebola case in weeks
259,Cattle parasite study points to possible way to fight malaria
260,Sierra Leoneans halt genital mutilation amid Ebola fears: UK minister
261,Should patients remind health workers to wash their hands?
262,Lebanon seizes half a ton of radioactive sanitary towels
263,Spike in Ebola in Guinea could reflect access to hidden patients
264,"New drugs still out of reach for most in India, world TB hotspot"
265,Biogen's Alzheimer's drug slows mental decline in early study
266,Experimental drug from Biogen first Alzheimer's treatment to significantly slow metnal decline:
267,Concussions may linger among professional baseball players
268,Sweden investigating possible bird flu case: agriculture board
269,"WHO urges mass vaccination against measles, other diseases in Ebola areas"
270,Merck KGaA's deputy chief Oschmann set to become CEO: Manager Magazin
271,RT @ReutersOpinion: Super Mario on your iPhone? Nintendo gets its head in the game with mobile push:
272,Sixth Oregon college student stricken by meningococcal disease
273,"FDA panel backs Glaxo asthma drug for adults, not adolescents"
274,Sobriety tests in all new cars might prevent most drunk driving deaths
275,Sierra Leone to lock down Ebola hotspots next week: officials
276,Concussions may linger among professional baseball players
277,U.S. judge rejects Amgen bid to block biosimilar Neupogen
278,Healthcare worker in Nebraska tests negative for Ebola
279,Protruding ears don’t trigger assumptions about personality
280,Mother’s smoking may affect girls’ lifetime reproductive health
281,Judge OKs settlements for 78 World Trade Center cleanup workers
282,Guinea says number of Ebola patients more than doubles since Feb
283,"Industry makes $7,000 for each tobacco death: health campaigners"
284,Vietnam reports outbreak of H5N6 bird flu virus: OIE
285,"RT @ReutersOpinion: As tensions with Russia spiral, where is NATO?"
286,Australian ship makes emergency return to Antarctic station
287,Two more U.S. healthcare workers repatriated for Ebola monitoring
288,"Washington state mulls steep tax, other restrictions on e-cigarettes"
289,New York charges Narco Freedom executives in alleged Medicaid fraud scheme
290,"More evidence for rise, and race difference, in U.S. celiac disease"
291,"RT @ReutersOpinion: The Islamic militant threat in China is real, not propaganda:"
292,RT @ReutersOpinion: Russia’s air corps is a powerful but fading force:
293,"RT @ReutersUS: EXCLUSIVE: U.S. to roll back ""lost pleasure"" approach on health rules."
294,Doctors’ unconscious bias may not influence their decisions
295,Charity attacks Gilead over hepatitis C drug restrictions
296,Kansas high school finds 27 positive tuberculosis cases
297,U.S. House leaders pursue lasting fix for doctors' Medicare pay
298,Drinking diet soda linked to a widening waistline with age
299,Powerful opioid fentanyl blamed for spike in U.S. drug overdoses
300,"New global disaster plan sets targets to curb risk, losses"
301,Sanofi R&amp;D head bemoans divergence in global drug regulation
302,"Hot flashes, night sweats may linger well into a woman’s sixties"
303,Gates and Bloomberg create fourth quarter million fund to fight Big Tobacco
304,India reports outbreak of H5N1 bird flu in Uttar Pradesh: OIE
305,U.S. reports outbreak of low-pathogenic bird flu in California: OIE
306,RT @ReutersUS: U.S. reported outbreak of low-pathogenic H7N3 bird flu on turkey farm in California: OIE
307,"EXCLUSIVE: U.S. to roll back criticized ""lost pleasure"" approach on health rules."
308,FDA panel to discuss Ebola vaccine development in May
309,Palestinian students design vest to help the blind navigate
310,AstraZeneca two-in-one drug succeeds in lung disease test
311,Exclusive: U.S. to roll back 'lost pleasure' approach on health rules
312,Device manufacturer sued again in 'superbug' outbreak at L.A. hospital
313,A mother’s quest to cure her son
314,Salty snacks tied to higher blood pressure in youths
315,Nektar drug fails late-stage study in breast cancer patients
316,Another four U.S. Ebola aid workers flown back to U.S. for monitoring
317,"Chile considers bill to ease abortion ban, likely to pass: rights group"
318,One in five newborn deaths could be prevented with safe water: experts
319,Trader Joe's recalls raw walnuts products over salmonella risk
320,Young runners may have more PMS symptoms
321,Novartis unit hit with $110 million gender discrimination suit
322,French parliament passes 'deep sleep' bill for end of life
323,Novo Nordisk CEO apparent sees even more focus on diabetes
324,Early x-rays might not help elderly with new back pain
325,Aspirin's colon-cancer benefits backfire for some DNA types: study
326,"Health a fresh priority in disaster plan, talks snagged on aid"
327,"Guinea Ebola cases rise, three doctors infected"
328,FDA staff finds no new safety problems with Glaxo's asthma drug
329,"Tuberculosis and superbug strains 'ravaging' Europe, WHO warns"
330,Esperion cholesterol drug succeeds mid-stage study
331,Half a million babies die each year in unhygienic hospitals
332,Dementia drug research aided by $100 million venture capital fund
333,"India bets on mobiles in battle on maternal, child deaths"
334,Yellowstone bison managers consider alternative management policies
335,Thousands of snow geese fall dead from sky in Idaho
336,U.S. Ebola patient now in critical condition: NIH
337,Experts call for transparency on insulin pump problems
338,Gilead's hepatitis C drugs largely cost-effective in U.S
339,Gilead's hepatitis C drugs largely cost-effective in U.S.: study
340,FDA panel recommends unblinding study after Imbruvica shows clear benefit
341,UK cigarette packet branding ban passes final legislative hurdle
342,Possible U.S. Ebola patient in Nebraska isolated: hospital
343,U.S. Ebola patient now in 'critical' condition: NIH
344,Doctors not trained to spot sex trafficking victims
345,Implanted heart valve safe for low-risk patients: Danish study
346,Seven strategies for keeping women in STEM fields
347,France likely to pass bill banning super-skinny models
348,Disneyland measles outbreak linked to low vaccination rates
349,Horse dung has scientists on scent of antibiotic success
350,AstraZeneca heart drug results positive but not knock-out
351,U.S. may impose tougher curbs to contain bird flu in Arkansas
352,Four Americans arrive in Nebraska to be monitored for Ebola virus
353,Four Americans arrive in Nebraska to be monitored for Ebola virus
354,"Low mortality, stroke seen with newest Edwards TAVR system: study"
355,Medtronic valve replacement tops surgery after two years: study
356,"Experimental cholesterol drugs cut heart risk, but questions remain"
357,New market for liver disease spawns race for better testing
358,At least 10 people flown to U.S. after possible Ebola exposure: CDC
359,USDA reports virulent strain of avian flu in Kansas poultry
360,American in Honduras checked for Ebola released from hospital
361,"Long-term use of AstraZeneca heart drug brings benefits, some risks"
362,American in Honduras isolated pending tests for Ebola
363,Three Kansas patients die after eating tainted ice cream
364,Boston Scientific wins U.S. approval for atrial fibrillation device
365,FDA probes Blue Bell Creameries' icecream products after three deaths
366,Merck expects to be denied approval for sugammadex injection again
367,U.S. bird experts mystified by Midwest avian flu spread
368,Simple vision test may help catch concussions
369,Idaho lawmakers approve limits on indoor tanning by teens
370,Watch closely and explain frequently: Liberia's Ebola lessons
371,Transgender people face discrimination in healthcare
372,Safety lapses possible in deadly bacteria outbreak in Louisiana monkeys
373,South African doctors perform world's first penis transplant
374,Falls may be tied to irregular heartbeat
375,American healthcare worker with Ebola arrives at NIH for treatment:
376,U.S. healthcare worker with Ebola arrives in U.S.: NBC
377,China drug approval backlog jumped by a third last year
378,"India, U.S. researchers clash over swine flu strain mutation"
379,Lawmakers in Northwest eye new vaccine proposals after bill defeats
380,Experts call for a tobacco-free world by 2040
381,Genetics study seeks South Asian health clues in East London
382,Worker at Louisiana primate facility possibly exposed to deadly bacterium
383,Kansas quarantines two counties due to Missouri bird flu
384,Pfizer pain drug Lyrica fails study in adolescents with fibromyalgia
385,NIH says to admit U.S. healthcare worker infected with Ebola
386,"On a night out, more friends means more drinks"
387,Daily weigh-ins may encourage weight loss
388,Two-thirds in U.S. with invasive cancer live five or more years: study
389,FDA to review re-submitted Bristol-Myers hepatitis C drug
390,Measles cases seen almost doubling in Ebola epidemic countries
391,U.S. regulators tighten requirements on reusable medical devices
392,Strawberries top list of pesticide-laced food: EU report
393,"Death toll from West Africa's Ebola outbreak passes 10,000: WHO"
394,"Chemical exposure in Syria tied to miscarriages, birth defects"
395,Male smokers have elevated risk of osteoporosis
396,Giant Eagle recalls bread over milk allergen
397,Raise minimum age to buy cigarettes to decrease use: U.S. study
398,"Cochlear implants may benefit mind, mood of older people"
399,Raise minimum age to buy cigarettes to decrease use: U.S. study
400,Ebola could cost West Africa $15 billion over three years
401,FDA says panel to discuss 'superbug' spread
402,Chickens destroyed after bird flu found at Dutch farm
403,Pfizer hunts for new vaccines to protect young and old
404,RT @ReutersTV: British Nurse tested positive for Ebola:
405,"UK health worker with Ebola flying back, 4 others being assessed"
406,Highly pathogenic bird flu confirmed in Arkansas turkeys: USDA
407,No bans on New Zealand dairy products after poison threat: government
408,U.S. exports at risk as bird flu enters heart of poultry country
409,KFC faces pressure after McDonald's says no antibiotics in chicken
410,Survival rates for risky surgeries in U.S. vary widely: study
411,"Brain-training, exercise, diet keep elderly mental decline at bay"
412,Online offers of personalized cancer medicine may not be trustworthy
413,Hormones still largely no help to heart after menopause
414,Exclusive: CVS says biotech drug copies may bring price cuts of 40-50 percent
415,"Acadia delays U.S. application to market lead drug, CEO retires"
416,Exercise may preserve motor skills in seniors
417,Hospital admissions for chest pain may result from poor communication
418,"Specialty Compounding to halt production, sale of sterile drugs"
419,Can ultrasound fight Alzheimer's? Mice study hints at new weapon
420,"Mutating H7N9 bird flu may pose pandemic threat, scientists warn"
421,Waning interest is biggest risk in race to overcome Ebola: WHO
422,FDA proposal to allow drug reps to circulate data draws protests
423,UK military healthcare worker tests positive for Ebola in Sierra Leone
424,Highly pathogenic bird flu detected in Arkansas turkey flock: USDA
425,Hi-tech paint gives urinating revelers a soaking
426,British parliament votes to ban branding on cigarette packs
427,"Screening men with ED for heart disease could save money, lives"
428,FDA proposal to allow drug reps to circulate data draws protests
429,Trial of Tekmira's TKM-Ebola treatment starts in Sierra Leone
430,Tyson continues effort to cut antibiotics from chicken production
431,Record numbers sign up to Swiss right-to-die organization
432,Parliament set to vote to ban branding on cigarette packs
433,Merck cancer drug is first approved under UK early access scheme
434,China to scrutinize New Zealand milk powder imports after poisoning scare
435,Suspected bird flu in Arkansas poultry threatens exports
436,"Suspected bird flu case found in Arkansas poultry, USDA says"
437,"Stress, depression boost risks for heart patients"
438,More kids in Britain learning about sex at school
439,Tylenol maker to pay $25 million for selling metal-contaminated drugs
440,Modified Mediterranean diets also good for weight loss
441,Surgery may not stop locker-room taunts about penis appearance
442,Nearly 11.7 million signed up for Obamacare health insurance: HHS
443,More evidence breast cancer and prostate cancer cluster in families
444,Trying to quit smoking? A smoking spouse may not help
445,"A possible link between prostate cancer and breast cancer, in today's Reuters FYI:"
446,Brazil passes femicide law to tackle rise in gender killings
447,"Many young Indian women underweight, their babies too: research"
448,FDA approves United Therapeutics' drug for treating cancer in children
449,Hepatitis C pills drive surge in U.S. drug costs: report
450,Threat to contaminate New Zealand infant formula: police
451,Got diabetes? There's an app for that
452,"Rural, urban suicide gap widening among youth"
453,U.S. FDA declines to remove serious warning on Pfizer's Chantix
454,Apple's ResearchKit to give scientists ready access to study subjects
455,Promising celiac disease therapies on the horizon
456,Independent panel to FDA backs Kythera's injection to reduce double chin
457,More evidence breast cancer and prostate cancer cluster in families
458,Seeing medical records might ease hospital patients’ confusion
459,"Plant-based diet, with fish, may lower risk of colorectal cancer"
460,France pushes health reform despite medics' anger
461,For many marathon runners pacing may be a matter of gender
462,Electric 'noise' treats Parkinson's symptoms
463,Rooibos wine targets health-conscious drinkers
464,CTI BioPharma blood cancer drug meets main goal in trial
465,French parliament debates 'deep sleep' bill for end of life
466,Six-way kidney swap complete at San Francisco hospital
467,NIH director sees solving data puzzle as key to U.S. precision medicine
468,West Virginia bans abortions after 20 weeks over governor's veto
469,Diabetics can avoid problems with attention to heart risks
470,FDA issues mobile app to search for drug shortages
471,Ohio State to require vaccinations for incoming students
472,"For upper-body warm-ups, stretch multiple muscles at once"
473,Final round of six-way kidney swap begins at San Francisco hospital
474,March Madness ‘gambling holiday’ risky for compulsive gamblers
475,U.S. FDA approves Astellas drug for invasive fungal infections
476,"Sexual problems equally common after C-section, natural birth"
477,Sleep deprived? Naps might help your immune system
478,Missing sprinter from Sierra Leone sleeping rough in London
479,Novartis wins approval for first U.S. biosimilar drug
480,Eli Lilly loses Alimta drug patent case in Germany to Actavis
481,What kills more women than AIDS and breast cancer? Dirty wate
482,Exclusive: Costco working to end use of human antibiotics in chicken
483,Inspector testing positive for deadly bacteria didn't get it at Louisiana lab: CDC
484,Many in U.S. live too far from advanced stroke care
485,Johnson &amp; Johnson ordered to pay $5.7 million in California mesh trial
486,Prenatal blood tests detect cancer signal in some women
487,San Francisco hospital begins rare six-way kidney transplant chain
488,A drink a day may not be good for everyone
489,Suicide by suffocation increasing among U.S. youths: study
490,AbbVie CEO says new form of Humira could thwart generics
491,Dentists might be able to screen for diabetes
492,Lumber Liquidators faces class-action lawsuit in Florida
493,Liberia releases last known Ebola patient from care
494,FDA staff backs Kythera's injection to reduce double chin
495,Wear blue on Friday to raise colon cancer awareness
496,Biotech buys get pharma M&amp;A off to flying start in 2015
497,Indian panel recommends waiving late-stage trials for some drugs
498,Arrowhead buys Novartis’ RNAi portfolio
499,Mallinckrodt to buy private respiratory drug and device maker for $2.3 billion
500,Washington state cannabis retailer opens in defiance of county ban
501,EU court rules Boston Scientific must pay pacemaker replacement surgery
502,Merck-NewLink Ebola vaccine Phase III trial to start March 7
503,Bayer says won't get results from Stivarga trial in bowel cancer
504,McDonald's USA to phase out human antibiotics from chicken supply
505,U.S. Supreme Court split over Obamacare challenge
506,U.S. FDA updates safety alert for 'superbug' scopes
507,Second Los Angeles hospital identifies 'superbug' infections
508,J&amp;J nearing deal to buy cancer drug maker Pharmacyclics: FT
509,U.S. hospitals optimistic they'll dodge bullet with Obamacare ruling
510,Second Los Angeles hospital identifies 'superbug' infections
511,Head of U.S. National Cancer Institute to step down
512,Healthier lungs in California kids after pollution controls
513,Vanda's eczema drug fails mid-stage study
514,Treatment for prostate cancer varies by area of U.S
515,Akorn details policy to prevent use of its drugs in state executions
516,"Guinea, Sierra Leone report rise in Ebola in past week, no case in Liberia: WHO"
517,Most Americans support raising tobacco sales age to 21
518,U.S. FDA approves Bristol-Myers immunotherapy for lung cancer
519,Nap time isn't one-size-fits-all
520,RT @ReutersPolitics: 15 min left in our #ReutersSCOTUS chat. Still time to send us your #Obamacare questions:
521,'Over the counter' birth control pills might save public money
522,RT @ReutersPolitics: Got an #Obamacare question? Our journalists are standing by right now. Tweet via #ReutersSCOTUS:
523,RT @ReutersPolitics: Our #ReutersSCOTUS chat on Obamacare is in full swing. Send your questions now:
524,Why the Supreme Court heard an #Obamacare fairytale:
525,RT @ReutersPolitics: Welcome to our #ReutersSCOTUS chat! Our journalists will now answer your questions about the #Obamacare arguments: htt…
526,RT @ReutersPolitics: Join our #ReutersSCOTUS chat on the Obamacare arguments at 1 pm ET:
527,"Restaurant calorie labels less likely to influence poor, uneducated"
528,Disasters have same human impact as tuberculosis: U.N.
529,RT @ReutersPolitics: COMING UP: Join our #ReutersSCOTUS chat at 1 pm ET. Our journalists will answer your #Obamacare questions:
530,Bristol's $1 billion Bavarian deal may signal cancer vaccine revival
531,Italian e-cigarette firms say new tax benefits tobacco
